,description,linkRelationship,@type,articleStatus,url,name,mainEntityOfPage.@type,mainEntityOfPage.genre,mainEntityOfPage.datePublished,mainEntityOfPage.dateModified,mainEntityOfPage.lastReviewed,mainEntityOfPage.reviewDue,mainEntityOfPage.keywords,mainEntityOfPage.code,mainEntityOfPage.alternateName,subjectOf.genre,subjectOf.@type,subjectOf.name,subjectOf.url,subjectOf.description
90,"Find out what capacity is and how it's assessed. Also, read about how a person's best interests are determined, plus advance decisions and power of attorney.",Result,LinkRole,published,https://api.nhs.uk/conditions/consent-to-treatment/capacity/,Assessing capacity,MedicalWebPage,condition,2017-10-20T17:18:42+00:00,2019-04-02T09:20:46+00:00,"['2019-03-29T00:00:00+00:00', '2022-03-29T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Mental Capacity Act', 'Donation (blood or organ)']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Consent to treatment,https://api.nhs.uk/conditions/consent-to-treatment/,"Find out what consent is, how it can be given, when it's needed, as well as situations when it's not needed."
91,It's important to take good care of your eye after a cornea transplant to help ensure a good recovery and reduce the risk of complications.,Result,LinkRole,published,https://api.nhs.uk/conditions/cornea-transplant/recovery/,Afterwards,MedicalWebPage,condition,2018-05-01T10:04:59+00:00,2018-05-01T10:04:59+00:00,"['2018-04-23T00:00:00+00:00', '2021-04-23T00:00:00+00:00']",2019-08-01T14:40:37+00:00,['Cornea transplant'],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Cornea transplant,https://api.nhs.uk/conditions/cornea-transplant/,A cornea transplant is an operation used to remove all or part of a damaged cornea and replace it with healthy cornea tissue from the eye of a suitable donor.
92,A coronary angioplasty is a procedure used to widen blocked or narrowed coronary arteries.,Result,LinkRole,published,https://api.nhs.uk/conditions/coronary-angioplasty/,Coronary angioplasty and stent insertion,MedicalWebPage,condition,2017-10-24T07:51:42+00:00,2018-10-10T16:23:11+00:00,"['2018-08-28T00:00:00+00:00', '2021-08-28T00:00:00+00:00']",2021-08-28T00:00:00+00:00,"['Heart attack', 'Coronary angioplasty', 'Heart', 'Angina']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]","['Angioplasty', 'Stent insertion']",,,,,
93,The most widely used surgical alternative to a coronary angioplasty is a coronary artery bypass graft (CABG).,Result,LinkRole,published,https://api.nhs.uk/conditions/coronary-angioplasty/alternatives/,Alternatives,MedicalWebPage,condition,2018-09-20T08:17:32+00:00,2018-09-20T08:17:32+00:00,"['2018-08-28T00:00:00+00:00', '2021-08-28T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Heart attack', 'Coronary angioplasty', 'Heart', 'Angina']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Coronary angioplasty and stent insertion,https://api.nhs.uk/conditions/coronary-angioplasty/,A coronary angioplasty is a procedure used to widen blocked or narrowed coronary arteries.
94,"Read about the alternatives to a coronary artery bypass graft (CABG) for treating coronary heart disease. In some cases, it may be possible to have a coronary angioplasty.",Result,LinkRole,published,https://api.nhs.uk/conditions/coronary-artery-bypass-graft-cabg/alternatives/,Alternatives,MedicalWebPage,condition,2018-10-03T20:01:43+00:00,2018-11-12T11:07:17+00:00,"['2018-11-07T00:00:00+00:00', '2021-11-07T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Chest pain', 'Coronary heart disease', 'Heart attack', 'Blood', 'Coronary artery bypass', 'Heart', 'Healthy eating']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Coronary artery bypass graft,https://api.nhs.uk/conditions/coronary-artery-bypass-graft-cabg/,"Find out why a coronary artery bypass graft (CABG) may be needed, plus what the procedure involves, how long it takes to recover and the associated risks."
95,"Babies with Down's syndrome are like any newborn babies. They'll be eating, sleeping, crying, and needing love and cuddles just like all babies.",Result,LinkRole,published,https://api.nhs.uk/conditions/downs-syndrome/advice-for-new-parents/,Advice for new parents,MedicalWebPage,condition,2019-11-04T12:19:27+00:00,2019-11-04T14:26:05+00:00,"['2019-10-21T00:00:00+00:00', '2022-10-21T00:00:00+00:00']",2019-08-01T14:40:00+00:00,"['Heart and vascular diseases', 'Congenital heart diseases', 'Children', ""Down's syndrome""]","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Down's syndrome,https://api.nhs.uk/conditions/downs-syndrome/,Down's syndrome is when you're born with an extra chromosome.
96,"Find out what to do if someone is injured in an incident. First, make sure both you and the casualty are safe. Next, check the casualty's airway, breathing and circulation.",Result,LinkRole,published,https://api.nhs.uk/conditions/first-aid/after-an-accident/,After an incident,MedicalWebPage,condition,2017-10-24T08:13:34+00:00,2018-11-21T12:36:44+00:00,"['2018-11-13T00:00:00+00:00', '2021-11-13T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Accidents', 'First aid']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,First aid,https://api.nhs.uk/conditions/first-aid/,"Find out what to do in emergency situations such as anaphylaxis, bleeding, burns and scalds, choking, drowning, electrocution, fractures, heart attacks, poisoning, shock and stroke."
97,"Everyone has feelings of anxiety at some point in their life. However, some people find it hard to control their worries. Their feelings of anxiety are more constant and can often affect their daily lives.",Result,LinkRole,published,https://api.nhs.uk/conditions/generalised-anxiety-disorder/,Generalised anxiety disorder in adults,MedicalWebPage,condition,2017-10-23T11:49:12+00:00,2020-11-25T11:44:58+00:00,"['2018-12-19T00:00:00+00:00', '2021-12-19T00:00:00+00:00']",2021-12-19T00:00:00+00:00,"['Anxiety', 'Anxiety-related conditions']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Anxiety disorder in adults'],,,,,
98,"After surgery you’ll be moved to the recovery room, where you’ll be told how the operation went.",Result,LinkRole,published,https://api.nhs.uk/conditions/having-surgery/afterwards/,After surgery,MedicalWebPage,condition,2017-10-23T13:22:58+00:00,2018-10-03T20:03:16+00:00,"['2018-02-07T00:00:00+00:00', '2021-02-07T00:00:00+00:00']",2019-08-01T14:40:37+00:00,['Surgery'],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Having an operation (surgery),https://api.nhs.uk/conditions/having-surgery/,"If you're considering having an operation or your GP has suggested you may need surgery, this guide is for you."
99,Find out about the alternatives ways you can relieve your menopausal symptoms if you cannot take hormone replacement therapy (HRT) or do not want to.,Result,LinkRole,published,https://api.nhs.uk/conditions/hormone-replacement-therapy-hrt/alternatives/,Alternatives,MedicalWebPage,condition,2017-10-23T13:34:05+00:00,2019-09-12T10:18:21+00:00,"['2019-09-09T00:00:00+00:00', '2022-09-09T00:00:00+00:00']",2019-08-06T14:22:00+00:00,"['Menopause', 'Hormone therapy', 'Benefits', 'HRT', 'Night sweats', 'Osteoporosis', 'Uterine cancer']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Hormone replacement therapy (HRT),https://api.nhs.uk/conditions/hormone-replacement-therapy-hrt/,"Find out about hormone replacement therapy (HRT) - how it can help menopausal symptoms, the different types of HRT, and what the main risks and side effects are - including how it can raise your risk of breast cancer."
100,"Read about iron deficiency anaemia, including information about symptoms, causes, treatment and complications.",Result,LinkRole,published,https://api.nhs.uk/conditions/iron-deficiency-anaemia/,Iron deficiency anaemia,MedicalWebPage,condition,2017-10-23T10:41:18+00:00,2020-08-12T07:54:41+00:00,"['2018-01-12T00:00:00+00:00', '2021-01-12T00:00:00+00:00']",2021-01-12T00:00:00+00:00,"['Fruit and vegetables', 'Blood', 'Iron deficiency', 'Stomach', 'Anaemia']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Anaemia (iron deficiency)'],,,,,
101,"Read about itchy bottom, a symptom that gives you a strong urge to scratch the skin around your anus.",Result,LinkRole,published,https://api.nhs.uk/conditions/itchy-anus/,Itchy bottom,MedicalWebPage,condition,2017-10-23T12:40:28+00:00,2020-10-06T09:54:27+00:00,"['2020-09-28T00:00:00+00:00', '2023-09-28T00:00:00+00:00']",2023-09-28T00:00:00+00:00,"['Itchy bottom', 'Skin', 'Bacterial infections']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Anus (itchy)'],,,,,
102,Read about who is eligible for IVF on the NHS and what you need to think about if you're considering private treatment.,Result,LinkRole,published,https://api.nhs.uk/conditions/ivf/availability/,Availability,MedicalWebPage,condition,2017-10-20T13:54:00+00:00,2019-07-29T14:38:36+00:00,"['2018-06-11T00:00:00+00:00', '2021-06-11T00:00:00+00:00']",2019-08-01T14:40:37+00:00,['IVF'],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,IVF,https://api.nhs.uk/conditions/ivf/,"In vitro fertilisation (IVF) is one of several techniques available to help people with fertility problems have a baby. During IVF, an egg is removed from the woman's ovaries and fertilised with sperm in a laboratory."
103,"A ""lazy eye"" is a childhood condition where the vision does not develop properly. It's known medically as amblyopia.",Result,LinkRole,published,https://api.nhs.uk/conditions/lazy-eye/,Lazy eye,MedicalWebPage,condition,2017-10-23T13:19:20+00:00,2019-05-20T15:02:53+00:00,"['2019-05-16T00:00:00+00:00', '2022-05-16T00:00:00+00:00']",2022-05-16T00:00:00+00:00,"['Brain', 'Eye', 'Eye injuries', 'Lazy eye']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Amblyopia'],,,,,
104,"There is a strict assessment process that is used to decide who can have a liver transplant, as donated livers are scarce both in the UK and around the world.",Result,LinkRole,published,https://api.nhs.uk/conditions/liver-transplant/who-can-have-it/,Assessment,MedicalWebPage,condition,2018-01-10T17:08:50+00:00,2018-01-29T10:06:19+00:00,"['2018-01-05T00:00:00+00:00', '2021-01-05T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Liver cirrhosis', 'Liver transplant', 'Liver diseases', 'Liver', 'Donation (blood or organ)', 'Transplantation']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Liver transplant,https://api.nhs.uk/conditions/liver-transplant/,A liver transplant is an operation to remove a diseased or damaged liver and replace it with a healthy one.
105,"Recovering from a liver transplant can be a long, slow process, but most people will eventually be able to return to most of their normal activities and have a good quality of life.",Result,LinkRole,published,https://api.nhs.uk/conditions/liver-transplant/recovery/,Afterwards,MedicalWebPage,condition,2018-01-10T17:08:59+00:00,2018-10-03T20:04:22+00:00,"['2018-01-05T00:00:00+00:00', '2021-01-05T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Liver cirrhosis', 'Liver transplant', 'Liver diseases', 'Liver', 'Donation (blood or organ)', 'Transplantation']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Liver transplant,https://api.nhs.uk/conditions/liver-transplant/,A liver transplant is an operation to remove a diseased or damaged liver and replace it with a healthy one.
106,"Find out about age-related macular degeneration (AMD), which mainly affects people over 50 years of age and usually leads to a gradual loss of central vision.",Result,LinkRole,published,https://api.nhs.uk/conditions/age-related-macular-degeneration-amd/,Age-related macular degeneration (AMD),MedicalWebPage,condition,2017-10-23T13:25:25+00:00,2019-08-08T13:39:35+00:00,"['2018-03-27T00:00:00+00:00', '2021-03-27T00:00:00+00:00']",2021-03-27T00:00:00+00:00,"['Lazy eye', 'Eye conditions', 'Macular degeneration', 'Eye', 'Visual impairment and blindness']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Macular degeneration (age-related)'],,,,,
107,Antimalarial medication is used to prevent and treat malaria.,Result,LinkRole,published,https://api.nhs.uk/conditions/malaria/treatment/,Antimalarials,MedicalWebPage,condition,2017-10-23T13:47:50+00:00,2020-01-21T14:59:42+00:00,"['2018-08-22T00:00:00+00:00', '2021-08-22T00:00:00+00:00']",2019-08-01T14:40:00+00:00,"['Travel health', 'Malaria', 'Travelling outside the European Economic Area']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Malaria,https://api.nhs.uk/conditions/malaria/,"Malaria is a serious tropical disease spread by mosquitoes. If it is not diagnosed and treated promptly, it can be fatal."
108,"A miscarriage can have a profound emotional impact, not only on a woman, but also on her partner, friends and family.",Result,LinkRole,published,https://api.nhs.uk/conditions/miscarriage/afterwards/,Afterwards,MedicalWebPage,condition,2018-03-06T12:58:23+00:00,2019-09-17T15:53:48+00:00,"['2018-06-01T00:00:00+00:00', '2021-06-01T00:00:00+00:00']",2019-08-01T14:40:00+00:00,['Miscarriage'],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Miscarriage,https://api.nhs.uk/conditions/miscarriage/,"A miscarriage is the loss of a pregnancy during the first 23 weeks. The main signs of a miscarriage include vaginal bleeding, followed by cramping and pain."
109,Find out how to find a physiotherapist through the NHS or privately.,Result,LinkRole,published,https://api.nhs.uk/conditions/physiotherapy/accessing/,Accessing physiotherapy,MedicalWebPage,condition,2017-11-15T10:53:30+00:00,2018-11-29T15:32:22+00:00,"['2018-11-26T00:00:00+00:00', '2021-11-26T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Physiotherapy', 'Physiotherapists']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Physiotherapy,https://api.nhs.uk/conditions/physiotherapy/,"Read about physiotherapy, including why it's used, what it involves and how you can access it on the NHS or privately."
110,"Talk to a health professional such as a GP about self-harm, they'll listen and discuss the best options for you.",Result,LinkRole,published,https://api.nhs.uk/conditions/self-harm/assessment-and-treatments/,Assessment and treatments,MedicalWebPage,condition,2020-07-30T13:50:16+00:00,2020-07-30T13:50:16+00:00,"['2020-07-23T00:00:00+00:00', '2023-07-23T00:00:00+00:00']",2023-07-23T13:49:00+00:00,[],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Self-harm,https://api.nhs.uk/conditions/self-harm/,"Self-harm is when somebody intentionally damages or injures their body. Support is available for anyone who self-harms or thinks about self-harm, as well as their friends and family."
111,"Read about the alternatives to transurethral resection of the prostate (TURP), including no treatment and newer techniques that can be used.",Result,LinkRole,published,https://api.nhs.uk/conditions/transurethral-resection-of-the-prostate-turp/alternatives/,Alternatives,MedicalWebPage,condition,2017-10-24T07:37:55+00:00,2018-10-03T20:08:01+00:00,"['2018-05-31T00:00:00+00:00', '2021-05-31T00:00:00+00:00']",2019-08-01T14:40:37+00:00,"['Prostate disease', 'Prostate', 'TURP', 'Benign prostatic hyperplasia']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Transurethral resection of the prostate (TURP),https://api.nhs.uk/conditions/transurethral-resection-of-the-prostate-turp/,"Read all about transurethral resection of the prostate (TURP), a surgical procedure used to cut away a section of the prostate gland if it's causing problems with urination."
112,Find out about the vaccinations available for people travelling abroad.,Result,LinkRole,published,https://api.nhs.uk/conditions/travel-vaccinations/jabs/,Available vaccines,MedicalWebPage,condition,2018-07-03T16:02:54+00:00,2019-08-02T10:58:45+00:00,"['2018-12-10T00:00:00+00:00', '2021-12-10T00:00:00+00:00']",2019-08-01T14:40:00+00:00,"['Encephalitis', 'Fever', 'Poliomyelitis', 'Travel vaccinations']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Travel vaccinations,https://api.nhs.uk/conditions/travel-vaccinations/,"If you're planning to travel outside the UK, you may need to be vaccinated against some of the serious diseases found in other parts of the world."
113,"Read about vitamin B12 or folate deficiency anaemia, which occurs when a lack of vitamin B12 or folate causes the body to produce abnormally large red blood cells.",Result,LinkRole,published,https://api.nhs.uk/conditions/vitamin-b12-or-folate-deficiency-anaemia/,Vitamin B12 or folate deficiency anaemia,MedicalWebPage,condition,2017-10-20T09:59:53+00:00,2020-08-17T10:43:11+00:00,"['2019-05-23T00:00:00+00:00', '2022-05-23T00:00:00+00:00']",2022-05-23T00:00:00+00:00,"['Vitamin and mineral preparations', 'Blood', 'Vitamin B12 deficiency', 'Anaemia', 'Vitamins and minerals', 'Pernicious anaemia']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Anaemia (vitamin B12 or folate deficiency)'],,,,,
114,Find out what the criteria are for getting weight loss surgery on the NHS and what your options are if you do not qualify for NHS treatment.,Result,LinkRole,published,https://api.nhs.uk/conditions/weight-loss-surgery/who-can-have-it/,Availability,MedicalWebPage,condition,2017-10-19T14:58:21+00:00,2020-04-20T14:00:13+00:00,"['2020-04-14T00:00:00+00:00', '2023-04-14T00:00:00+00:00']",2019-08-01T14:40:00+00:00,"['Obesity', 'Obesity surgery']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Weight loss surgery,https://api.nhs.uk/conditions/weight-loss-surgery/,"Weight loss surgery is sometimes used as a treatment for people who are very obese. It can lead to significant weight loss and help improve many obesity-related conditions, such as type 2 diabetes or high blood pressure."
115,"Find out about life after weight loss surgery, including information about diet, exercise and follow-up appointments.",Result,LinkRole,published,https://api.nhs.uk/conditions/weight-loss-surgery/afterwards/,Afterwards,MedicalWebPage,condition,2017-10-19T15:06:58+00:00,2020-04-20T13:59:57+00:00,"['2020-04-14T00:00:00+00:00', '2023-04-14T00:00:00+00:00']",2019-08-01T14:40:00+00:00,"['Obesity', 'Obesity surgery']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Weight loss surgery,https://api.nhs.uk/conditions/weight-loss-surgery/,"Weight loss surgery is sometimes used as a treatment for people who are very obese. It can lead to significant weight loss and help improve many obesity-related conditions, such as type 2 diabetes or high blood pressure."
116,"Find out what an abortion involves, how you can get one on the NHS, and what support is available to help you make a decision.",Result,LinkRole,published,https://api.nhs.uk/conditions/abortion/,Abortion,MedicalWebPage,condition,2017-10-18T11:36:09+00:00,2020-12-21T16:11:12+00:00,"['2020-04-24T11:13:00+00:00', '2023-04-24T11:13:00+00:00']",2023-04-24T11:13:00+00:00,"['Termination', 'Abortion']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,,,,,
117,"Bird flu, or avian flu, is an infectious viral illness that spreads among birds. In rare cases, it can affect humans.",Result,LinkRole,published,https://api.nhs.uk/conditions/bird-flu/,Bird flu,MedicalWebPage,condition,2017-10-19T06:59:46+00:00,2019-02-04T11:56:27+00:00,"['2018-05-18T06:49:00+00:00', '2021-05-18T06:49:00+00:00']",2021-05-18T06:49:00+00:00,"['Avian flu', 'Bird flu']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Avian flu'],,,,,
118,"Find out about antifungal medicines, which are used to treat fungal infections such as thrush and athlete's foot.",Result,LinkRole,published,https://api.nhs.uk/conditions/antifungal-medicines/,Antifungal medicines,MedicalWebPage,condition,2017-10-19T07:12:16+00:00,2020-08-06T16:39:00+00:00,"['2020-07-27T07:05:00+00:00', '2023-07-27T07:05:00+00:00']",2023-07-27T07:05:00+00:00,"['Antifungal medicines', 'Antifungals', 'Antifungal drugs']","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,,,,,
119,"Find out about dementia, including the symptoms, how to get a diagnosis, and how common dementia is.",Result,LinkRole,published,https://api.nhs.uk/conditions/dementia/about/,About dementia,MedicalWebPage,guide,2017-12-21T18:28:06+00:00,2020-06-29T14:07:55+00:00,"['2018-04-19T00:00:00+00:00', '2021-04-19T00:00:00+00:00']",2023-06-25T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Dementia guide,https://api.nhs.uk/conditions/dementia/,"NHS information and advice for people with dementia and their friends and families, including dementia symptoms, diagnosis, treatment, and how to live well with the condition."
120,"Activity suggestions for people with dementia to help them feel engaged, happier and motivated.",Result,LinkRole,published,https://api.nhs.uk/conditions/dementia/activities/,Activities for dementia,MedicalWebPage,guide,2017-12-21T18:28:07+00:00,2019-06-17T17:46:53+00:00,"['2018-04-19T00:00:00+00:00', '2021-04-19T00:00:00+00:00']",2021-08-22T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Dementia guide,https://api.nhs.uk/conditions/dementia/,"NHS information and advice for people with dementia and their friends and families, including dementia symptoms, diagnosis, treatment, and how to live well with the condition."
121,"Get your heart pumping with this aerobics home video workout from the NHS Fitness Studio, where you can find a range of workout routines to suit you, whether your aim is to lose weight, improve your overall fitness, or de-stress.",Result,LinkRole,published,https://api.nhs.uk/conditions/nhs-fitness-studio/aerobics-for-beginners/,Aerobics video for beginners,MedicalWebPage,guide,2017-12-21T18:28:12+00:00,2020-12-17T11:35:33+00:00,"['2019-08-06T00:00:00+00:00', '2022-08-06T00:00:00+00:00']",2022-08-13T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Fitness Studio exercise videos,https://api.nhs.uk/conditions/nhs-fitness-studio/,"NHS Fitness Studio: free online fitness videos, aerobics vidoes, strength and resistance videos, pilates and yoga videos and more."
122,"A gentle pilates home video workout for people with arthritis from the NHS Fitness Studio, where you can find a range of workout routines to suit you, whether your aim is to lose weight, improve your overall fitness, or de-stress.",Result,LinkRole,published,https://api.nhs.uk/conditions/nhs-fitness-studio/arthritis-pilates-exercise-video/,Arthritis pilates video workout,MedicalWebPage,guide,2017-12-21T18:28:12+00:00,2020-12-16T19:34:33+00:00,"['2019-08-06T00:00:00+00:00', '2022-08-06T00:00:00+00:00']",2022-08-09T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Fitness Studio exercise videos,https://api.nhs.uk/conditions/nhs-fitness-studio/,"NHS Fitness Studio: free online fitness videos, aerobics vidoes, strength and resistance videos, pilates and yoga videos and more."
123,"Follow this abs workout video from the NHS Fitness Studio, where you can find a range of workout routines to suit you, whether your aim is to lose weight, improve your overall fitness, or de-stress.",Result,LinkRole,published,https://api.nhs.uk/conditions/nhs-fitness-studio/body-blast-abs/,Abs workout video,MedicalWebPage,guide,2017-12-21T18:28:12+00:00,2020-12-17T11:45:46+00:00,"['2019-08-06T00:00:00+00:00', '2022-08-06T00:00:00+00:00']",2022-08-13T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Fitness Studio exercise videos,https://api.nhs.uk/conditions/nhs-fitness-studio/,"NHS Fitness Studio: free online fitness videos, aerobics vidoes, strength and resistance videos, pilates and yoga videos and more."
124,Lose the bingo wings with this 10-minute workout video that focuses on toning your arms and improving your upper body strength.,Result,LinkRole,published,https://api.nhs.uk/conditions/nhs-fitness-studio/body-blast-arms/,Arms workout video,MedicalWebPage,guide,2017-12-21T18:28:12+00:00,2020-12-17T11:42:47+00:00,"['2019-08-06T00:00:00+00:00', '2022-08-06T00:00:00+00:00']",2022-08-13T00:00:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,Fitness Studio exercise videos,https://api.nhs.uk/conditions/nhs-fitness-studio/,"NHS Fitness Studio: free online fitness videos, aerobics vidoes, strength and resistance videos, pilates and yoga videos and more."
125,A change in your sense of smell can be unpleasant and affect how things taste. But it is not usually serious and may get better in a few weeks or months.,Result,LinkRole,published,https://api.nhs.uk/conditions/lost-or-changed-sense-smell/,Lost or changed sense of smell,MedicalWebPage,condition,2017-12-21T12:08:33+00:00,2020-12-22T12:53:24+00:00,"['2020-12-11T11:50:00+00:00', '2023-12-11T11:50:00+00:00']",2023-12-11T11:50:00+00:00,[],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]","['Anosmia', 'Sense of smell (lost/changed)']",,,,,
126,"NHS information about memory loss (amnesia), including advice about what to do if you have problems with your memory and what the cause might be.",Result,LinkRole,published,https://api.nhs.uk/conditions/memory-loss-amnesia/,Memory loss (amnesia),MedicalWebPage,condition,2018-01-08T17:16:46+00:00,2020-10-19T17:12:03+00:00,"['2020-10-09T15:31:00+00:00', '2023-10-09T15:31:00+00:00']",2023-10-09T15:31:00+00:00,"['Dementia', 'Head injuries', 'Stress', 'Stroke', 'Older people', 'Depression', 'Memory problems', 'Underactive thyroid', 'Anxiety', ""Alzheimer's disease""]","[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",['Amnesia'],,,,,
127,"People with a learning disability often have poorer physical and mental health than other people, but this does not need to be the case.",Result,LinkRole,published,https://api.nhs.uk/conditions/learning-disabilities/annual-health-checks/,Annual health checks,MedicalWebPage,condition,2018-04-09T12:08:10+00:00,2020-03-19T17:53:57+00:00,"['2018-07-06T12:05:00+00:00', '2021-07-06T12:05:00+00:00']",2019-08-01T14:40:00+00:00,[],"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,condition,MedicalWebPage,Learning disabilities,https://api.nhs.uk/conditions/learning-disabilities/,A learning disability affects the way a person learns new things throughout their lifetime.
128,An advance decision to refuse treatment lets your healthcare team know your wishes if you are not able to communicate them.,Result,LinkRole,published,https://api.nhs.uk/conditions/end-of-life-care/advance-decision-to-refuse-treatment/,Advance decision (living will),MedicalWebPage,guide,2018-05-29T10:39:06+00:00,2020-11-19T16:33:53+00:00,"['2018-06-20T10:48:00+00:00', '2021-06-20T10:48:00+00:00']",2023-10-12T13:48:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,End of life care,https://api.nhs.uk/conditions/end-of-life-care/,"This Guide contains information about what you can expect during end of life care and the things you may want to think about. These include how and where you want to be cared for, as well as financial issues."
129,"You can write an advance statement that sets down your preferences, wishes, beliefs and values regarding your future care. It is not legally binding.",Result,LinkRole,published,https://api.nhs.uk/conditions/end-of-life-care/advance-statement/,Advance statement about your wishes,MedicalWebPage,guide,2018-05-29T10:38:44+00:00,2020-11-24T10:18:12+00:00,"['2018-06-20T10:48:00+00:00', '2021-06-20T10:48:00+00:00']",2023-10-15T15:18:00+00:00,,"[{'@type': 'MedicalCode', 'codeValue': '', 'codingSystem': 'SNOMED-CT'}]",,guide,MedicalWebPage,End of life care,https://api.nhs.uk/conditions/end-of-life-care/,"This Guide contains information about what you can expect during end of life care and the things you may want to think about. These include how and where you want to be cared for, as well as financial issues."
